name,affiliations,author_id,cited_by,interests
Afshin Rahimi,Applied Scientist @ Amazon,WhPw2I0AAAAJ,1292,Natural Language Processing
Alberto Tonon,"PhD Student, University of Fribourg",zBYcXUMAAAAJ,467,"Computer Science, Information Retrieval, Semantic Web"
Alessandro Checco,Computer Science Department - University of Rome La Sapienza,crhkrNcAAAAJ,902,"Human Computation, Crowdsourcing, Graph Theory, Markov Chains, Wireless Networks"
Andrea Brunello,Università degli Studi di Udine,GuteS00AAAAJ,280,"Data science, machine learning, evolutionary computation, data modelling, databases"
Andrew Turpin,Lions Eye Institute and Curtin University,lCZblDwAAAAJ,6881,"Human vision, Computer vision, Information Science, Data Analysis"
Arkaitz Zubiaga,Queen Mary University of London,IUb-xxMAAAAJ,6598,"Social Media Mining, Social Data Science, Natural Language Processing, Computational Social Science, Computational Journalism"
Beatrice Portelli,University of Udine,HQZd6wsAAAAJ,144,
Carlo Alberto Beltrami,"Professore, Università di Udine",EZrMWWMAAAAJ,18390,cellule staminali
Carlo Tasso,Full Professor in Computer Science,ITxRmxIAAAAJ,3642,"Artificial Intelligence, Web Intelligence, Semantic Web"
Claudio Carpineto,Fondazione Ugo Bordoni,MnwqYB8AAAAJ,5533,"information retrieval, data mining, artificial intelligence, formal concept analysis, data privacy"
Claudiu S. Firan,,SRc8aowAAAAJ,1742,
Cristina Sarasua,University of Zurich,i_2lvZwAAAAJ,767,"CSCW, Digital Democracy, Civic Technology, Data Analytics, Knowledge Graphs"
Damiano Spina,"School of Computing Technologies, RMIT University",sLzYrNYAAAAJ,2484,"Information Retrieval, Text Analytics, Data Science, Evaluation, Human-AI Fact-checking"
Dante Degl'Innocenti,Datamantix,Ay6L7NsAAAAJ,117,"Artificial Intelligence, Deep Learning, Natural Language Processing, Data Science, Machine Learning"
David La Barbera,Università Degli Studi Di Udine,MvN8wKEAAAAJ,139,Computer Science
Davide Ceolin,"Tenured Researcher, CWI Amsterdam",y8Jy518AAAAJ,497,"Information Quality, Trust, Semantic Web, Probabilistic Logic, Provenance"
Djellel Difallah,"Assistant Professor, Computer Science, NYU Abu Dhabi",K5d-OHEAAAAJ,3091,"Crowdsourcing systems, Data science, Big Data systems"
"Dr. Wasim Ahmed, PhD",Senior Lecturer in Marketing,JduIcrAAAAAJ,2170,"Disinformation, Twitter, Digital Business, Social Network Analysis, Health Informatics"
Eddy Maddalena,"Università degli Studi di Udine, Italy",egHDpFkAAAAJ,553,"Information Retrieval, Crowdsourcing, Data Science, Human Computation, Web science"
Edgar Meij,Bloomberg,vb6YKF0AAAAJ,3137,"Information Retrieval, Semantich Search, Machine Learning"
