Author,Degree Centrality,Betweenness Centrality,Closeness Centrality,Pagerank,Hubs,Authorities
Afshin Rahimi,0.039473684210526314,0.0025701754385964912,0.40860215053763443,0.009507104505561444,0.010629155722021659,0.010629155722021673
Alberto Tonon,0.039473684210526314,0.0036052631578947347,0.4222222222222222,0.009544701633124162,0.011547807781193884,0.011547807781193886
Alessandro Checco,0.07894736842105263,0.0047731829573934795,0.4634146341463415,0.016507616163025745,0.02487840829815854,0.024878408298158544
Andrea Brunello,0.039473684210526314,0.002822055137844611,0.39378238341968913,0.00948181626781593,0.010813574095774397,0.010813574095774405
Andrew Turpin,0.039473684210526314,0.0030968660968660965,0.4245810055865922,0.009580284592752392,0.011366337918934922,0.011366337918934927
Arkaitz Zubiaga,0.013157894736842105,0.0,0.3671497584541063,0.004470026934035515,0.004845314868972305,0.004845314868972302
Beatrice Portelli,0.039473684210526314,0.0029844054580896685,0.39378238341968913,0.009755199050199627,0.010672728622274504,0.010672728622274506
Ben Carterette,0.06578947368421052,0.0020116959064327483,0.41304347826086957,0.011946558559856386,0.012872788805940958,0.01287278880594096
Carlo Alberto Beltrami,0.02631578947368421,0.0,0.41304347826086957,0.006866959942897331,0.009992208794793693,0.009992208794793693
Carlo Tasso,0.039473684210526314,0.0033375104427735996,0.4245810055865922,0.009623255149984569,0.011613804451305743,0.011613804451305745
Claudio Carpineto,0.039473684210526314,0.002753854332801701,0.4175824175824176,0.010032726965461179,0.011050648600736332,0.011050648600736327
Claudiu S. Firan,0.02631578947368421,0.0012756892230576442,0.38190954773869346,0.007120961656490044,0.00619478955701173,0.006194789557011733
Cristina Sarasua,0.02631578947368421,0.0,0.3671497584541063,0.007295365044906467,0.005987265400779035,0.005987265400779029
Damiano Spina,0.3421052631578947,0.258928363059942,0.5757575757575758,0.07714593427233377,0.04813100091071327,0.0481310009107133
Dante Degl'Innocenti,0.013157894736842105,0.0,0.36538461538461536,0.004458038623627158,0.004871835512272993,0.00487183551227299
David La Barbera,0.13157894736842105,0.019541710725921254,0.5135135135135135,0.02658132893057295,0.03542557188309626,0.035425571883096266
Davide Ceolin,0.09210526315789473,0.013905502879187091,0.4810126582278481,0.0192972831310155,0.025485643982267048,0.02548564398226704
Djellel Difallah,0.039473684210526314,0.0,0.4444444444444444,0.00932176256315019,0.015597777291634727,0.01559777729163472
"Dr. Wasim Ahmed, PhD",0.039473684210526314,0.0030526315789473684,0.38578680203045684,0.010193062951927635,0.006920181307008008,0.006920181307008006
Eddy Maddalena,0.35526315789473684,0.2435238289975132,0.5714285714285714,0.07973622164316674,0.04839444408032692,0.04839444408032693
Edgar Meij,0.013157894736842105,0.0,0.3671497584541063,0.004470026934035515,0.004845314868972305,0.004845314868972311
Elena Nazzi,0.039473684210526314,0.002480367585630744,0.4198895027624309,0.009463452383288497,0.011746778190902727,0.01174677819090273
Elena Simperl,0.013157894736842105,0.0,0.36538461538461536,0.004458038623627158,0.004871835512272993,0.004871835512272994
